myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Elmwoodweekday1,Elmwood,8-24-2026,weekday,,,,1,2023-10-11 04:19 AM,2:25,2023-10-11 2:25 PM,9:56,10.9,,T2,8201,O,04:32 AM,RW,01:50 PM,9:18,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 9:18,--> O: 04:32 AM > RW: 01:50 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday2,Elmwood,8-24-2026,weekday,,,,2,2023-10-11 04:42 AM,,2023-10-11 2:03 PM,9:11,9.8,,T2,8202,O,04:55 AM,I,02:00 PM,9:05,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 9:05,--> O: 04:55 AM > I: 02:00 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday3,Elmwood,8-24-2026,weekday,,,,3,2023-10-11 05:09 AM,,2023-10-11 1:20 PM,8:01,8.0,,T2,8204,O,05:22 AM,I,01:17 PM,7:55,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:55,--> O: 05:22 AM > I: 01:17 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday4,Elmwood,8-24-2026,weekday,,,,4,2023-10-11 05:19 AM,3:36,2023-10-11 3:36 PM,10:07,11.2,,T2,8205,O,05:32 AM,RW,03:01 PM,9:29,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 9:29,--> O: 05:32 AM > RW: 03:01 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday5,Elmwood,8-24-2026,weekday,,,,5,2023-10-11 05:53 AM,,2023-10-11 2:11 PM,8:08,8.2,,T2,8207,O,06:06 AM,I,02:08 PM,8:02,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 8:02,--> O: 06:06 AM > I: 02:08 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday6,Elmwood,8-24-2026,weekday,,,,6,2023-10-11 06:08 AM,3:16,2023-10-11 3:16 PM,8:58,9.5,,T2,8208,O,06:21 AM,RW,02:41 PM,8:20,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 8:20,--> O: 06:21 AM > RW: 02:41 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday7,Elmwood,8-24-2026,weekday,11:18 AM,1Hrs 47Min,6420,7,2023-10-11 04:54 AM,2:25,2023-10-11 2:25 PM,7:39,8.0,,T2,8203,O,05:07 AM,I,09:31 AM,4:24,264,11:13,T5,8261,RW,11:18 AM,RW,02:20 PM,3:02,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 4:24,--> O: 05:07 AM > I: 09:31 AM,RTE: T5 SCHD: 3:02,--> RW: 11:18 AM > RW: 02:20 PM,,,,,,,,,,,,,,,,,
Elmwoodweekday8,Elmwood,8-24-2026,weekday,02:27 PM,4Hrs 4Min,14640,8,2023-10-11 05:41 AM,,2023-10-11 5:45 PM,7:50,9.2,,T2,8206,O,05:54 AM,I,10:23 AM,4:29,269,2:17,T4,8111,O,02:27 PM,I,05:42 PM,3:15,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 4:29,--> O: 05:54 AM > I: 10:23 AM,RTE: T4 SCHD: 3:15,--> O: 02:27 PM > I: 05:42 PM,,,,,,,,,,,,,,,,,
Elmwoodweekday9,Elmwood,8-24-2026,weekday,12:54 PM,3Hrs 3Min,10980,9,2023-10-11 06:15 AM,,2023-10-11 6:05 PM,8:47,10.3,,T2,8209,O,06:28 AM,I,09:51 AM,3:23,203,12:44,T4,8108,RW,12:54 PM,I,06:02 PM,5:08,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 3:23,--> O: 06:28 AM > I: 09:51 AM,RTE: T4 SCHD: 5:08,--> RW: 12:54 PM > I: 06:02 PM,,,,,,,,,,,,,,,,,
Elmwoodweekday10,Elmwood,8-24-2026,weekday,03:07 PM,3Hrs 27Min,12420,10,2023-10-11 06:39 AM,,2023-10-11 6:22 PM,8:41,10.1,,T2,8211,O,06:52 AM,RW,11:40 AM,4:48,288,2:57,T5,8277,O,03:07 PM,I,06:19 PM,3:12,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 4:48,--> O: 06:52 AM > RW: 11:40 AM,RTE: T5 SCHD: 3:12,--> O: 03:07 PM > I: 06:19 PM,,,,,,,,,,,,,,,,,
